timestamp,model_name,prompt,prompt_tokens,completion_tokens,total_tokens,response_time_ms,tokens_per_second,temperature,cpu_model,cpu_cores,cpu_usage_percent,cpu_speed,total_memory_gb,memory_usage_percent,gpu_model,gpu_vendor,os
2025-03-17T23:22:23.245Z,hermes-3-llama-3.2-3b,What is Python?,470,149,619,3052,202.82,0.5,AMD Ryzen 5 5600 6-Core Processor,12,43.44,3500,32,66,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:24:17.451Z,hermes-3-llama-3.2-3b,Hello,154,9,163,251,650.1,0.5,AMD Ryzen 5 5600 6-Core Processor,12,33.51,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:24:26.072Z,hermes-3-llama-3.2-3b,What is Calculus?,283,88,371,1774,209.08,0.5,AMD Ryzen 5 5600 6-Core Processor,12,41.1,3500,32,68,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:31:23.872Z,hermes-3-llama-3.2-3b,Hello!,155,9,164,199,822.12,0.5,AMD Ryzen 5 5600 6-Core Processor,12,29.54,3500,32,72,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:31:43.786Z,hermes-3-llama-3.2-3b,What is Calculus?,283,63,346,1033,335.05,0.5,AMD Ryzen 5 5600 6-Core Processor,12,41.23,3500,32,72,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:38:40.456Z,hermes-3-llama-3.2-3b,What is calculus?,282,68,350,1098,318.88,0.5,AMD Ryzen 5 5600 6-Core Processor,12,24.06,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:40:40.826Z,hermes-3-llama-3.2-3b,What is Calculus?,283,70,353,1241,284.49,0.5,AMD Ryzen 5 5600 6-Core Processor,12,45.07,3500,32,72,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:43:59.340Z,hermes-3-llama-3.2-3b,What is Calculus?,283,64,347,1068,324.88,0.5,AMD Ryzen 5 5600 6-Core Processor,12,27.5,3500,32,72,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:51:28.317Z,hermes-3-llama-3.2-3b,What is Jovascript?,159,34,193,600,321.7,0.5,AMD Ryzen 5 5600 6-Core Processor,12,28.59,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:51:38.879Z,hermes-3-llama-3.2-3b,What is JavaScript?,445,70,515,1271,405.08,0.5,AMD Ryzen 5 5600 6-Core Processor,12,43.45,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:52:30.278Z,hermes-3-llama-3.2-3b,What is calculus?,282,71,353,1200,294.2,0.5,AMD Ryzen 5 5600 6-Core Processor,12,48.65,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:57:26.777Z,hermes-3-llama-3.2-3b,Hello,154,25,179,436,410.77,0.5,AMD Ryzen 5 5600 6-Core Processor,12,35.09,3500,32,72,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:57:42.072Z,hermes-3-llama-3.2-3b,Hello!,155,9,164,215,764.43,0.5,AMD Ryzen 5 5600 6-Core Processor,12,41.85,3500,32,72,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
